year,sex,age,mx,qx,lx,dx,Lx,Tx,ex,causa
2010,f,70,0.0603776910656152,0.262296337278471,60711.5774561084,15924.4243971354,263746.826287703,576656.326443838,9.49829259272227,sin_homicidios
2010,f,75,0.0944992435978082,0.382201772080636,44787.1530589729,17117.7292655861,181141.442130899,312909.500156135,6.98659054626927,sin_homicidios
2010,f,80,0.165407797966504,0.585092029368519,27669.4237933868,16189.1593187303,97874.2206701083,131768.058025236,4.76222631194543,sin_homicidios
2010,f,85,0.338712443633058,1,11480.2644746565,11480.2644746565,33893.8373551272,33893.8373551272,2.95235684072873,sin_homicidios
2019,f,0,0.0188309906644751,0.0185191276151655,1e+05,1851.91276151655,98343.8840002297,7048798.29771565,70.4879829771565,sin_homicidios
2019,f,1,0.000901384533522068,0.00359741015511328,98148.0872384835,353.078925736656,391707.32645816,6950454.41371542,70.8159945779379,sin_homicidios
2019,f,5,0.000422916442748696,0.0021123488460939,97795.0083127468,206.577172963182,488458.598631326,6558747.08725726,67.0662766987298,sin_homicidios
2019,f,10,0.000407632820714892,0.00203608916165398,97588.4311397836,198.698746946538,487445.408831552,6070288.48862594,62.2029519045242,sin_homicidios
2019,f,15,0.00069053999756119,0.00344674969149705,97389.7323928371,335.678030079987,486109.466888985,5582843.07979438,57.3247604508768,sin_homicidios
2019,f,20,0.000877882576953232,0.00437980050837408,97054.0543627571,425.07739663776,484207.578322191,5096733.6129054,52.5143812524867,sin_homicidios
2019,f,25,0.00100517556086268,0.00501327973863079,96628.9769661193,484.428092388873,481933.814599625,4612526.03458321,47.7343978939204,sin_homicidios
2019,f,30,0.00163797897523445,0.0081564944600792,96144.5488737305,784.202480255379,478762.238168014,4130592.21998358,42.9623131874945,sin_homicidios
2019,f,35,0.00202714673599681,0.0100846261375876,95360.3463934751,961.673441729057,474397.548363053,3651829.98181557,38.2950578508536,sin_homicidios
2019,f,40,0.00331667162853303,0.0164469850211785,94398.672951746,1552.5735600565,468111.930858589,3177432.43345252,33.6597150584599,sin_homicidios
2019,f,45,0.00559713871475024,0.0275994980264721,92846.0993916895,2562.50573692656,457824.232616131,2709320.50259393,29.1807681781453,sin_homicidios
